expert,quote,emotion_label,emotion_score,persuasion_score
Mr Khalil,Mr Khalil became a symbol of the the Trump administration's crackdown on universities and foreign students when US Immigration and Customs Enforcement (ICE) arrested him in New York on 8 March.,fear,0.7980400919914246,0.0
Mr Khalil,"Mr Khalil was a prominent voice in Columbia's pro-Palestinian protests last year, and his arrest sparked demonstrations in New York and Washington DC.",anger,0.6837798357009888,0.0
Mr Khalil,"US District Judge Michael Farbiarz determined Mr Khalil was not a flight risk or threat to his community, and could be released during immigration proceedings, according to the BBC's US partner CBS News.",neutral,0.6817928552627563,0.029
Mr Khalil,Mr Khalil graduated from Columbia while he was in detention. His wife took his place in the ceremony and accepted his diploma on his behalf.,joy,0.6306133270263672,0.0
Mr Khalil,The government has not accused Mr Khalil of a specific crime.,disgust,0.38436856865882874,0.0
Mr Khalil,"Secretary of State Marco Rubio invoked a rarely-used portion of the Immigration and Nationality Act to argue Mr Khalil's presence in the US could pose ""potentially serious adverse foreign policy consequences.""",fear,0.9081301689147949,0.03
Mr Khalil,"Last week,Judge Farbiarz ruled Rubio's justification for detaining Mr Khalil was likely unconstitutionaland said the US government could not detain or deport the 30-year-old legal US resident under that reasoning.",anger,0.54160475730896,0.029
Mr Khalil,"Attorneys for the Trump administrationthen said Mr Khalil was being held for a different reason,failing to disclose information when he applied for lawful permanent residency in 2024.",sadness,0.4568617641925812,0.0
Mr Khalil,"Mr Khalil, who has been held in Louisiana since his arrest, remained in custody.",sadness,0.6635735630989075,0.0
Mr Khalil,"Mr Khalil's attorneys have argued that the government is violating their client's free speech rights. They also asked the New Jersey federal court to free him on bail or transfer him closer to his wife and baby, who was born during his detention.",anger,0.7122255563735962,0.0
Mr Khalil,"Throughout Friday's nearly two-hour hearing, Judge Farbiarz, who presides in the District of New Jersey, expressed scepticism of the government's requests to keep Mr Khalil detained while his case moves forward.",fear,0.9629448056221008,0.0
Mr Khalil,"He also said Mr Khalil's arrest and detention on the second charge was ""highly unusual"".",neutral,0.33646807074546814,0.0
Mr Khalil,"The ruling paves the way for Mr Khalil to soon leave detention. Under the conditions of his release, he will not have to wear electronic monitoring, and will be given a certified copies of his passport and green card so he can return from Louisiana.",neutral,0.8015323877334595,0.044
Mr Khalil,"The government will retain his physical passport. The court barred Mr Khalil from international travel, but he will be permitted some domestic travel to New York and Michigan, as well as New Jersey and Louisiana for court appearances and attorney visits only. He will also be permitted to travel to Washington for lobbying and legislative purposes.",neutral,0.8800912499427795,0.054
Mr Khalil,"""No one should fear being jailed for speaking out in this country,"" said Alina Das, co-director of the Immigrant Rights Clinic at New York University School of Law, who appeared in court to argue for his release on Friday. ""We are overjoyed that Mr Khalil will finally be reunited with his family while we continue to fight his case in court.""",joy,0.9846581220626831,0.032
Mr Khalil,"""After more than three months we can finally breathe a sigh of relief and know that Mahmoud is on his way home to me and Deen, who never should have been separated from his father,"" said Mr Khalil's wife, Dr Noor Abdalla, in a statement released by the American Civil Liberties Union.",joy,0.7642121315002441,0.019
Dr Noor Abdalla,"""After more than three months we can finally breathe a sigh of relief and know that Mahmoud is on his way home to me and Deen, who never should have been separated from his father,"" said Mr Khalil's wife, Dr Noor Abdalla, in a statement released by the American Civil Liberties Union.",joy,0.7642121315002441,0.019
Mr Khalil,"In a statement, White House spokeswoman Abigail Jackson accused Mr Khalil of engaging in ""fraud and misrepresentation"" and ""conduct detrimental to American foreign policy interests.""",anger,0.5828834176063538,0.0
Mr Khalil,The White House also maintains that Judge Farbiarz did not have jurisdiction to order Mr Khalil's release.,neutral,0.7441624402999878,0.0
Ms Jackson,"""We expect to be vindicated on appeal, and look forward to removing Khalil from the United States,"" Ms Jackson said.",neutral,0.5936145782470703,0.0
